309984.94766718,3522409.75942367,2
333414.94766718,3547939.75942367,4
335094.94766718,3538429.75942367,5
354834.94766718,3551869.75942367,6
358674.94766718,3541309.75942367,7
335124.94766718,3520309.75942367,8
397944.94766718,3489259.75942367,9
403854.94766718,3483919.75942367,10
408114.94766718,3482089.75942367,11
403224.94766718,3472789.75942367,12
421584.94766718,3455659.75942367,13
443904.94766718,3446269.75942367,14
476304.94766718,3408259.75942367,16
457404.94766718,3407689.75942367,17
441294.94766718,3429349.75942367,18
437124.94766718,3433219.75942367,19
423654.94766718,3431419.75942367,21
410364.94766718,3430879.75942367,22
409914.94766718,3436939.75942367,23
406344.94766718,3454249.75942367,24
372954.94766718,3451249.75942367,25
373014.94766718,3472879.75942367,26
361014.94766718,3466999.75942367,27
350934.94766718,3468049.75942367,28
321324.94766718,3486679.75942367,29
307224.94766718,3480559.75942367,30
297324.94766718,3487039.75942367,31
