X,Y,L_m_Upstream,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,7
313494.94766718,3513079.75942367,56645.9783106966,4
335064.94766718,3530209.75942367,125821.359210845,103
332214.94766718,3521269.75942367,118894.67740078,102
335844.94766718,3492949.75942367,108260.056198321,19
326214.94766718,3489979.75942367,73144.6406361014,12
332304.94766718,3531529.75942367,129414.079990231,98
324744.94766718,3531559.75942367,133658.121113178,97
315624.94766718,3483709.75942367,71864.0518910709,11
329004.94766718,3524839.75942367,126833.714190967,99
330234.94766718,3523069.75942367,124631.805102377,100
339174.94766718,3494959.75942367,93010.5821821197,18
327834.94766718,3499639.75942367,75676.1839254269,14
371004.94766718,3532159.75942367,166219.638405957,86
329094.94766718,3519649.75942367,102982.705550958,105
332484.94766718,3493459.75942367,97152.1968981946,16
329634.94766718,3494719.75942367,81265.960979661,15
365274.94766718,3472639.75942367,138966.872196368,28
432594.94766718,3438139.75942367,249856.848302444,50
310434.94766718,3530479.75942367,47615.915549465,1
409074.94766718,3474229.75942367,201826.597257508,69
407154.94766718,3486559.75942367,186509.478221425,80
428544.94766718,3441259.75942367,243926.045277164,49
414414.94766718,3461479.75942367,214323.71629359,68
301284.94766718,3487549.75942367,81987.4241767194,9
334854.94766718,3490669.75942367,111538.067017464,21
403524.94766718,3477769.75942367,185287.640559584,75
346884.94766718,3524779.75942367,116009.164415257,104
345654.94766718,3478039.75942367,130038.201205445,22
405384.94766718,3477469.75942367,187187.051814554,74
309834.94766718,3472099.75942367,91122.1968981946,10
403374.94766718,3485059.75942367,181839.04099541,81
406104.94766718,3475879.75942367,192585.134060448,70
358914.94766718,3463759.75942367,149886.569158337,26
403224.94766718,3480529.75942367,180651.101603017,77
358374.94766718,3466519.75942367,147852.59946214,25
305844.94766718,3493759.75942367,78759.1189850614,8
422784.94766718,3435829.75942367,250976.259557413,47
349794.94766718,3552649.75942367,156386.70334632,89
437244.94766718,3433639.75942367,262176.250891898,52
336024.94766718,3494479.75942367,92159.9220103399,17
400224.94766718,3487819.75942367,172889.415460191,82
323214.94766718,3493609.75942367,67429.7163956096,13
355704.94766718,3549349.75942367,161303.536675403,88
427134.94766718,3441859.75942367,242663.913242808,48
460044.94766718,3440599.75942367,283056.376414356,56
406284.94766718,3474829.75942367,191741.753109281,71
437184.94766718,3429769.75942367,266360.292014843,53
410274.94766718,3437599.75942367,244180.969517656,45
434004.94766718,3439009.75942367,250185.965184898,51
311844.94766718,3511219.75942367,55307.5216000221,3
443514.94766718,3435319.75942367,262122.646994966,54
416154.94766718,3439639.75942367,239374.724933604,46
404304.94766718,3476059.75942367,187623.742290137,73
345504.94766718,3471799.75942367,149577.157903368,23
460044.94766718,3440599.75942367,283056.376414356,57
428274.94766718,3452329.75942367,239802.887271763,65
373944.94766718,3473509.75942367,147754.437123981,34
332664.94766718,3540739.75942367,142669.878682753,95
402204.94766718,3477769.75942367,180336.543161789,76
402624.94766718,3481099.75942367,180070.807230501,78
309204.94766718,3513319.75942367,36937.8333035729,2
337524.94766718,3493009.75942367,105285.426330344,20
458184.94766718,3439309.75942367,280527.482477669,58
401604.94766718,3492349.75942367,177730.441431236,84
391074.94766718,3499069.75942367,172501.547494547,85
377964.94766718,3472069.75942367,156643.179541654,37
422214.94766718,3461059.75942367,227678.043123536,66
333384.94766718,3538729.75942367,140313.188207169,96
354924.94766718,3469729.75942367,138646.283451338,24
376104.94766718,3473359.75942367,150687.523702632,35
437814.94766718,3443989.75942367,253790.595052875,63
443544.94766718,3440029.75942367,262535.367774352,60
330594.94766718,3544789.75942367,151643.473914169,94
320874.94766718,3557629.75942367,175557.283425834,91
330264.94766718,3576439.75942367,185448.452250379,90
460044.94766718,3440599.75942367,283056.376414356,55
405924.94766718,3488329.75942367,181134.116754918,83
437604.94766718,3445249.75942367,254947.285528459,62
437154.94766718,3445579.75942367,255247.285528459,61
369924.94766718,3470659.75942367,151933.696859935,31
