X,Y,L_m_Upstream,Max_Vel,Min_Vel,Mean_Vel,StreamNumber
409464.94766718,3474469.75942367,202351.155698735,0.164819507211475,0.0098952894081932,0.135443375713765,69
407274.94766718,3486769.75942367,186811.610255781,0.164819507211475,0.00609587652765199,0.133866844672366,80
428754.94766718,3440779.75942367,244493.030125262,0.164819507211475,0.0101593149523447,0.133197440602847,49
414294.94766718,3461629.75942367,214523.421921075,0.164819507211475,0.00410198798014737,0.137666515445693,68
301284.94766718,3487549.75942367,81987.4241767194,0.164819507211475,0.00390823376337525,0.10592874820028,9
334854.94766718,3490669.75942367,111538.067017464,0.164819507211475,0.00397929280620676,0.13834144320805,21
403674.94766718,3477889.75942367,185504.919780198,0.164819507211475,0.00451386917008627,0.138900104069451,75
346884.94766718,3524779.75942367,116009.164415257,0.164819507211475,0.0044280212841791,0.136019099027191,104
345414.94766718,3477979.75942367,130303.054019187,0.164819507211475,0.00438358740122394,0.135213433436397,22
405654.94766718,3477649.75942367,187531.610255781,0.164819507211475,0.0062896326747197,0.13740235152578,74
309864.94766718,3471739.75942367,91494.6233050658,0.164819507211475,0.00675025832430786,0.0958077751790431,10
403374.94766718,3485059.75942367,181839.04099541,0.164819507211475,0.0037412839794737,0.136991303088921,81
406374.94766718,3476119.75942367,192954.545315417,0.164819507211475,0.0069261658941921,0.137024424108512,70
358914.94766718,3463489.75942367,150248.701192693,0.164819507211475,0.00630508430837997,0.129270143281494,26
403494.94766718,3480529.75942367,180945.954416759,0.164819507211475,0.00518404756979106,0.138813982975067,77
358104.94766718,3466309.75942367,148252.01071711,0.164819507211475,0.00685910880197703,0.130338373105414,25
305844.94766718,3493759.75942367,78759.1189850614,0.164819507211475,0.00377493309065185,0.106948861207046,8
422544.94766718,3434509.75942367,252647.214101709,0.164819507211475,0.0305783254820499,0.12913285530368,47
350124.94766718,3552889.75942367,156816.11460129,0.164819507211475,0.00793429840803024,0.115379438552731,89
