X,Y,L_m_Upstream,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,7
313494.94766718,3513079.75942367,56645.9783106966,4
335004.94766718,3530269.75942367,125906.212024587,103
332214.94766718,3521269.75942367,118894.67740078,102
335844.94766718,3492949.75942367,108260.056198321,19
326214.94766718,3489979.75942367,73144.6406361014,12
332304.94766718,3531529.75942367,129414.079990231,98
324714.94766718,3531589.75942367,133700.547520049,97
315624.94766718,3483709.75942367,71864.0518910709,11
329004.94766718,3524839.75942367,126833.714190967,99
330234.94766718,3523069.75942367,124631.805102377,100
339174.94766718,3494959.75942367,93010.5821821197,18
327834.94766718,3499639.75942367,75676.1839254269,14
371094.94766718,3532219.75942367,166334.491219699,86
329124.94766718,3519709.75942367,103055.131957829,105
332484.94766718,3493459.75942367,97152.1968981946,16
329634.94766718,3494719.75942367,81265.960979661,15
365214.94766718,3472669.75942367,139081.725010111,28
432564.94766718,3438019.75942367,250014.127523057,50
310434.94766718,3530479.75942367,47615.915549465,1
409224.94766718,3474289.75942367,202001.45007125,69
407214.94766718,3486619.75942367,186594.331035168,80
428574.94766718,3441109.75942367,244088.471684035,49
414384.94766718,3461509.75942367,214366.142700461,68
301284.94766718,3487549.75942367,81987.4241767194,9
334854.94766718,3490669.75942367,111538.067017464,21
403554.94766718,3477799.75942367,185330.066966456,75
346884.94766718,3524779.75942367,116009.164415257,104
345594.94766718,3478009.75942367,130110.627612316,22
405444.94766718,3477499.75942367,187259.478221425,74
309834.94766718,3472009.75942367,91212.1968981946,10
403374.94766718,3485059.75942367,181839.04099541,81
406194.94766718,3475939.75942367,192699.98687419,70
358944.94766718,3463669.75942367,150013.848378951,26
403314.94766718,3480529.75942367,180741.101603017,77
358284.94766718,3466459.75942367,147967.452275883,25
305844.94766718,3493759.75942367,78759.1189850614,8
422664.94766718,3435469.75942367,251435.670812383,47
349884.94766718,3552739.75942367,156513.982566934,89
437214.94766718,3433489.75942367,262338.677298769,52
336024.94766718,3494479.75942367,92159.9220103399,17
400314.94766718,3487819.75942367,172979.415460191,82
323214.94766718,3493609.75942367,67429.7163956096,13
355824.94766718,3549319.75942367,161435.963082274,88
427224.94766718,3441769.75942367,242791.192463421,48
461184.94766718,3440389.75942367,284357.919703682,56
406344.94766718,3474889.75942367,191826.605923023,71
437124.94766718,3429799.75942367,266432.718421714,53
410154.94766718,3437449.75942367,244398.24873827,45
433884.94766718,3438979.75942367,250318.391591769,51
311844.94766718,3511219.75942367,55307.5216000221,3
443574.94766718,3435259.75942367,262207.499808708,54
416124.94766718,3439519.75942367,239507.151340475,46
404364.94766718,3476089.75942367,187696.168697009,73
345444.94766718,3471889.75942367,149692.01071711,23
460404.94766718,3440719.75942367,283490.934855583,57
428304.94766718,3452419.75942367,239905.313678634,65
373944.94766718,3473419.75942367,147844.437123981,34
332634.94766718,3540709.75942367,142712.305089624,95
402234.94766718,3477799.75942367,180378.969568661,76
402654.94766718,3481129.75942367,180113.233637373,78
309204.94766718,3513319.75942367,36937.8333035729,2
337524.94766718,3493009.75942367,105285.426330344,20
458244.94766718,3439429.75942367,280672.335291411,58
401634.94766718,3492469.75942367,177862.867838108,84
391044.94766718,3499099.75942367,172543.973901419,85
377934.94766718,3471979.75942367,156745.605948526,37
422334.94766718,3460999.75942367,227822.895937278,66
333384.94766718,3538729.75942367,140313.188207169,96
354924.94766718,3469729.75942367,138646.283451338,24
376104.94766718,3473299.75942367,150747.523702632,35
437814.94766718,3444049.75942367,253850.595052875,63
443604.94766718,3440179.75942367,262727.794181223,60
330594.94766718,3544789.75942367,151643.473914169,94
320844.94766718,3557629.75942367,175587.283425834,91
330204.94766718,3576439.75942367,185508.452250379,90
461184.94766718,3440389.75942367,284357.919703682,55
406104.94766718,3488269.75942367,181338.969568661,83
437634.94766718,3445339.75942367,255049.71193533,62
437214.94766718,3445609.75942367,255319.71193533,61
369924.94766718,3470599.75942367,151993.696859935,31
