X,Y,L_m_Upstream,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,7
313494.94766718,3513079.75942367,56645.9783106966,4
334944.94766718,3530479.75942367,126141.06483833,103
332214.94766718,3521269.75942367,118894.67740078,102
335844.94766718,3492949.75942367,108260.056198321,19
326214.94766718,3489979.75942367,73144.6406361014,12
332304.94766718,3531529.75942367,129414.079990231,98
324654.94766718,3531649.75942367,133785.400333792,97
315624.94766718,3483709.75942367,71864.0518910709,11
329004.94766718,3524839.75942367,126833.714190967,99
330234.94766718,3523069.75942367,124631.805102377,100
339174.94766718,3494959.75942367,93010.5821821197,18
327834.94766718,3499639.75942367,75676.1839254269,14
371514.94766718,3532399.75942367,166871.476067797,86
329124.94766718,3520009.75942367,103355.131957829,105
332484.94766718,3493459.75942367,97152.1968981946,16
329634.94766718,3494719.75942367,81265.960979661,15
364944.94766718,3472519.75942367,139498.709858209,28
432084.94766718,3437539.75942367,250805.670812383,50
310434.94766718,3530479.75942367,47615.915549465,1
409704.94766718,3474439.75942367,202603.582105606,69
407334.94766718,3486889.75942367,186956.463069524,80
428664.94766718,3440599.75942367,244727.882939005,49
414384.94766718,3461659.75942367,214643.421921075,68
301284.94766718,3487549.75942367,81987.4241767194,9
334854.94766718,3490669.75942367,111538.067017464,21
403764.94766718,3477979.75942367,185632.199000812,75
346884.94766718,3524779.75942367,116009.164415257,104
345324.94766718,3477949.75942367,130405.480426058,22
405744.94766718,3477709.75942367,187646.463069524,74
309924.94766718,3471589.75942367,91669.4761188082,10
403374.94766718,3485059.75942367,181839.04099541,81
406494.94766718,3476209.75942367,193129.39812916,70
358824.94766718,3463399.75942367,150393.554006435,26
403614.94766718,3480529.75942367,181065.954416759,77
357984.94766718,3466189.75942367,148421.716344595,25
305844.94766718,3493759.75942367,78759.1189850614,8
422634.94766718,3433909.75942367,253359.05176355,47
350274.94766718,3552949.75942367,156990.967415032,89
437094.94766718,3432799.75942367,263103.235739996,52
336024.94766718,3494479.75942367,92159.9220103399,17
400674.94766718,3487789.75942367,173351.841867062,82
323214.94766718,3493609.75942367,67429.7163956096,13
356304.94766718,3549229.75942367,162020.521523501,88
427224.94766718,3441229.75942367,243455.456532134,48
465234.94766718,3443209.75942367,290319.605846505,56
406554.94766718,3475009.75942367,192086.311550508,71
436824.94766718,3429799.75942367,266732.718421714,53
409764.94766718,3436639.75942367,245429.792027595,45
433464.94766718,3438739.75942367,250872.950032997,51
311844.94766718,3511219.75942367,55307.5216000221,3
443784.94766718,3435049.75942367,262539.631843064,54
415764.94766718,3439279.75942367,240068.989002316,46
404574.94766718,3476269.75942367,187980.727138236,73
345114.94766718,3472279.75942367,150253.848378951,23
460914.94766718,3441229.75942367,284247.330958651,57
428334.94766718,3452749.75942367,240297.44571299,65
373944.94766718,3473029.75942367,148234.437123981,34
332634.94766718,3540709.75942367,142712.305089624,95
402414.94766718,3477979.75942367,180668.675196145,76
402864.94766718,3481249.75942367,180390.512857986,78
309204.94766718,3513319.75942367,36937.8333035729,2
337524.94766718,3493009.75942367,105285.426330344,20
458604.94766718,3439939.75942367,281381.15780135,58
401544.94766718,3492739.75942367,178254.999872464,84
390924.94766718,3499339.75942367,172858.532342646,85
377874.94766718,3471529.75942367,157245.311576011,37
422844.94766718,3460609.75942367,228494.439226604,66
333384.94766718,3538729.75942367,140313.188207169,96
354924.94766718,3469729.75942367,138646.283451338,24
376104.94766718,3472939.75942367,151107.523702632,35
438024.94766718,3444319.75942367,254242.727087231,63
443544.94766718,3440929.75942367,263502.646994966,60
330594.94766718,3544789.75942367,151643.473914169,94
320664.94766718,3557779.75942367,175829.41546019,91
329904.94766718,3576529.75942367,185845.731470993,90
461754.94766718,3440419.75942367,285057.330958651,55
407064.94766718,3488329.75942367,182373.528009888,83
437934.94766718,3445699.75942367,255551.549597171,62
437454.94766718,3445789.75942367,255651.843969686,61
369894.94766718,3470359.75942367,152270.976080549,31
