X,Y,L_m_Upstream,Max_Vel,Min_Vel,Mean_Vel,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,0.483410234815501,0.01304719810736,0.36800928115237,7
313494.94766718,3513079.75942367,56645.9783106966,0.483410234815501,0.0150283913523397,0.434790767308508,4
334944.94766718,3530479.75942367,126141.06483833,0.483410234815501,0.0132685035719911,0.3839017489862,103
332214.94766718,3521269.75942367,118894.67740078,0.483410234815501,0.0142058888100941,0.383575878009863,102
335844.94766718,3492949.75942367,108260.056198321,0.483410234815501,0.0153334913124964,0.413533768224164,19
326214.94766718,3489979.75942367,73144.6406361014,0.483410234815501,0.013962588721094,0.322851665412085,12
332304.94766718,3531529.75942367,129414.079990231,0.483410234815501,0.0131832243752261,0.361040309583042,98
324654.94766718,3531649.75942367,133785.400333792,0.483410234815501,0.0133047552424219,0.351731562622205,97
315624.94766718,3483709.75942367,71864.0518910709,0.483410234815501,0.0139846846929279,0.335967944389134,11
329004.94766718,3524839.75942367,126833.714190967,0.483410234815501,0.0136041173303766,0.366384973758423,99
330234.94766718,3523069.75942367,124631.805102377,0.483410234815501,0.0131134635319215,0.370418611245048,100
339174.94766718,3494959.75942367,93010.5821821197,0.483410234815501,0.0135731557900267,0.423978853954301,18
327834.94766718,3499639.75942367,75676.1839254269,0.483410234815501,0.013236131390645,0.435391205792837,14
371544.94766718,3532429.75942367,166913.902474669,0.483410234815501,0.0276830627533268,0.343343535943073,86
328884.94766718,3520459.75942367,103904.543212799,0.483410234815501,0.0163720129047233,0.373643990345165,105
332484.94766718,3493459.75942367,97152.1968981946,0.483410234815501,0.0142877242150688,0.407176341820562,16
329634.94766718,3494719.75942367,81265.960979661,0.483410234815501,0.0136618349388668,0.407731416479958,15
364554.94766718,3472339.75942367,140048.121113179,0.483410234815501,0.0222516140593948,0.399906209298368,28
432474.94766718,3437989.75942367,250116.553929929,0.483410234815501,0.0416938500451807,0.392613264973559,50
310434.94766718,3530479.75942367,47615.915549465,0.483410234815501,0.0142593543847915,0.226231032395462,1
409734.94766718,3474409.75942367,202646.008512477,0.483410234815501,0.0328935722288103,0.399614700517648,69
407424.94766718,3486949.75942367,187071.315883266,0.483410234815501,0.0202800702037048,0.394930950200526,80
428664.94766718,3440959.75942367,244275.750904649,0.483410234815501,0.0343864997101539,0.394562850479435,49
414444.94766718,3461629.75942367,214715.848327946,0.483410234815501,0.0137038872604754,0.40651307002953,68
301284.94766718,3487549.75942367,81987.4241767194,0.483410234815501,0.0137759874675556,0.31448456134469,9
334854.94766718,3490669.75942367,111538.067017464,0.483410234815501,0.0140140497890227,0.407547141235962,21
403884.94766718,3478099.75942367,185837.051814554,0.483410234815501,0.0154173822670884,0.409360146171149,75
346884.94766718,3524779.75942367,116009.164415257,0.483410234815501,0.0155127115095816,0.401421444799555,104
345084.94766718,3477859.75942367,130682.759646672,0.483410234815501,0.0135886522369601,0.397308360479809,22
405894.94766718,3477799.75942367,187833.742290137,0.483410234815501,0.019275360855975,0.405099625586507,74
310284.94766718,3471199.75942367,92261.3137806489,0.483410234815501,0.0164052988270524,0.282781766664547,10
403374.94766718,3485059.75942367,181839.04099541,0.483410234815501,0.0132158270886977,0.404498553753961,81
406614.94766718,3476299.75942367,193286.677349773,0.483410234815501,0.0235155183761154,0.404041969468829,70
358644.94766718,3463159.75942367,150743.25963392,0.483410234815501,0.0211997954399503,0.380463272209645,26
403854.94766718,3480499.75942367,181318.38082363,0.483410234815501,0.0176780349596262,0.408778240312233,77
357654.94766718,3466099.75942367,148788.995565208,0.483410234815501,0.0232917350483226,0.383348853400944,25
305844.94766718,3493759.75942367,78759.1189850614,0.483410234815501,0.0133288258031968,0.317105278102148,8
422634.94766718,3435589.75942367,251278.391591769,0.483410234815501,0.102175598765763,0.384150842661596,47
350424.94766718,3553069.75942367,157208.246635646,0.483410234815501,0.0242137285821978,0.341615354546194,89
437244.94766718,3433579.75942367,262236.250891898,0.483410234815501,0.0400243698806951,0.388010352924506,52
336024.94766718,3494479.75942367,92159.9220103399,0.483410234815501,0.0131422683306032,0.426791557623457,17
400974.94766718,3487819.75942367,173664.268273934,0.483410234815501,0.019999333570156,0.407119492654869,82
323214.94766718,3493609.75942367,67429.7163956096,0.483410234815501,0.0131668691306684,0.350210707295844,13
356394.94766718,3549169.75942367,162135.374337244,0.483410234815501,0.0297717650792593,0.33526987973368,88
427314.94766718,3441649.75942367,242948.471684035,0.483410234815501,0.034796657478461,0.392534771118799,48
458904.94766718,3439939.75942367,281455.716242577,0.483410234815501,0.284108001723895,0.38665834169248,56
406674.94766718,3475069.75942367,192231.164364251,0.483410234815501,0.0150928608052713,0.405705002339643,71
437184.94766718,3429769.75942367,266360.292014843,0.483410234815501,0.0162938742335808,0.384538079486633,53
410154.94766718,3437419.75942367,244428.24873827,0.483410234815501,0.0531137308747071,0.385251858054942,45
433794.94766718,3438949.75942367,250420.817998641,0.483410234815501,0.0293035946884987,0.394176077706549,51
311844.94766718,3511219.75942367,55307.5216000221,0.483410234815501,0.0137608642435895,0.444283323237769,3
443574.94766718,3435259.75942367,262207.499808708,0.483410234815501,0.0183031041351,0.391172323608874,54
416064.94766718,3439369.75942367,239682.004154217,0.483410234815501,0.030980215500185,0.38980157217143,46
404724.94766718,3476359.75942367,188185.579951978,0.483410234815501,0.0151600309626356,0.40930256940009,73
344814.94766718,3472369.75942367,150591.127599565,0.483410234815501,0.0289321829977517,0.368819057365099,23
458904.94766718,3439939.75942367,281455.716242577,0.483410234815501,0.284108001723895,0.38665834169248,57
428334.94766718,3452539.75942367,240037.740085505,0.483410234815501,0.0205910935531124,0.394561159848434,65
373944.94766718,3472549.75942367,148764.142751466,0.483410234815501,0.020908382712381,0.40663746884694,34
332634.94766718,3540709.75942367,142712.305089624,0.483410234815501,0.0134124702492586,0.367585229662857,95
402624.94766718,3478099.75942367,180928.38082363,0.483410234815501,0.0147185815080013,0.413603297839262,76
403014.94766718,3481249.75942367,180540.512857986,0.483410234815501,0.0132482874407206,0.410856537530096,78
309204.94766718,3513319.75942367,36937.8333035729,0.483410234815501,0.0135264766871941,0.384747597154139,2
337524.94766718,3493009.75942367,105285.426330344,0.483410234815501,0.0138884827002169,0.424560059062877,20
458064.94766718,3439159.75942367,280327.776850184,0.483410234815501,0.0381197438970806,0.386842917123929,58
401544.94766718,3492799.75942367,178314.999872464,0.483410234815501,0.018133043464296,0.384606857635406,84
390864.94766718,3499339.75942367,172918.532342646,0.483410234815501,0.0129929135158125,0.394501452611836,85
377874.94766718,3471139.75942367,157635.311576011,0.483410234815501,0.0246555415580673,0.397029320110786,37
422604.94766718,3460789.75942367,228179.880785377,0.483410234815501,0.03378666138593,0.394245908289163,66
333384.94766718,3538729.75942367,140313.188207169,0.483410234815501,0.0131340498452731,0.372450262167865,96
354924.94766718,3469729.75942367,138646.283451338,0.483410234815501,0.0130886838683038,0.395451572768857,24
376104.94766718,3472489.75942367,151557.523702632,0.483410234815501,0.0190760450392585,0.404390645676172,35
437844.94766718,3444109.75942367,253923.021459747,0.483410234815501,0.0214344420767541,0.391820805685361,63
443604.94766718,3440059.75942367,262607.794181223,0.483410234815501,0.0436078625391146,0.390075176025581,60
330594.94766718,3544789.75942367,151643.473914169,0.483410234815501,0.0134519769805728,0.360502441917481,94
320664.94766718,3557779.75942367,175829.41546019,0.483410234815501,0.0131627746717992,0.33857074805175,91
329964.94766718,3576499.75942367,185773.305064122,0.483410234815501,0.016485248035731,0.3302454502737,90
458904.94766718,3439939.75942367,281455.716242577,0.483410234815501,0.284108001723895,0.38665834169248,55
407064.94766718,3488329.75942367,182373.528009888,0.483410234815501,0.0526488519448798,0.377287253533042,83
437634.94766718,3445339.75942367,255049.71193533,0.483410234815501,0.0261602174691966,0.390396563129807,62
437214.94766718,3445609.75942367,255319.71193533,0.483410234815501,0.018933217124654,0.390042987801435,61
369774.94766718,3470119.75942367,152578.255301162,0.483410234815501,0.0134834344914851,0.3982069945738,31
