303684.94766718,3496729.75942367,7
314244.94766718,3510619.75942367,4
339684.94766718,3526489.75942367,103
334674.94766718,3520939.75942367,102
338874.94766718,3493219.75942367,19
320064.94766718,3490819.75942367,12
331044.94766718,3528829.75942367,98
327414.94766718,3530449.75942367,97
315354.94766718,3487489.75942367,11
331284.94766718,3526339.75942367,99
332844.94766718,3524149.75942367,100
337314.94766718,3497689.75942367,18
327564.94766718,3502789.75942367,14
370224.94766718,3532069.75942367,86
333414.94766718,3514669.75942367,105
332664.94766718,3498889.75942367,16
329454.94766718,3499699.75942367,15
366294.94766718,3478549.75942367,28
432294.94766718,3437779.75942367,50
310734.94766718,3524479.75942367,1
406554.94766718,3471529.75942367,69
405204.94766718,3484729.75942367,80
428364.94766718,3442009.75942367,49
413094.94766718,3459559.75942367,68
304044.94766718,3486229.75942367,9
337314.94766718,3489799.75942367,21
400704.94766718,3476179.75942367,75
346104.94766718,3522799.75942367,104
350244.94766718,3480319.75942367,22
401124.94766718,3475849.75942367,74
309414.94766718,3478939.75942367,10
401364.94766718,3483649.75942367,81
403404.94766718,3473509.75942367,70
360054.94766718,3466999.75942367,26
399204.94766718,3479689.75942367,77
358284.94766718,3471649.75942367,25
306054.94766718,3490549.75942367,8
424524.94766718,3427339.75942367,47
348264.94766718,3550339.75942367,89
436644.94766718,3431509.75942367,52
336294.94766718,3497269.75942367,17
396084.94766718,3485779.75942367,82
320334.94766718,3493459.75942367,13
354024.94766718,3548749.75942367,88
427014.94766718,3442039.75942367,48
467184.94766718,3441379.75942367,56
404634.94766718,3473449.75942367,71
436734.94766718,3429829.75942367,53
409014.94766718,3434119.75942367,45
434424.94766718,3439249.75942367,51
313494.94766718,3509269.75942367,3
443364.94766718,3435409.75942367,54
416154.94766718,3439579.75942367,46
401034.94766718,3474199.75942367,73
348384.94766718,3468679.75942367,23
460524.94766718,3443869.75942367,57
427944.94766718,3452059.75942367,65
374274.94766718,3480649.75942367,34
337374.94766718,3540799.75942367,95
398574.94766718,3477289.75942367,76
399204.94766718,3479689.75942367,78
306594.94766718,3512839.75942367,2
338934.94766718,3493039.75942367,20
457404.94766718,3441589.75942367,58
400524.94766718,3490039.75942367,84
390894.94766718,3497239.75942367,85
380454.94766718,3477319.75942367,37
421164.94766718,3460879.75942367,66
334614.94766718,3538489.75942367,96
353754.94766718,3470899.75942367,24
377724.94766718,3479749.75942367,35
437724.94766718,3443869.75942367,63
443634.94766718,3442129.75942367,60
332274.94766718,3545089.75942367,94
322104.94766718,3556909.75942367,91
330594.94766718,3575869.75942367,90
462564.94766718,3440299.75942367,55
403344.94766718,3489229.75942367,83
437814.94766718,3445609.75942367,62
437274.94766718,3445699.75942367,61
372504.94766718,3472219.75942367,31
