X,Y,L_m_Upstream,Max_Vel,Min_Vel,Mean_Vel,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,0.544703110511685,0.012198506934105,0.412953719405568,7
313494.94766718,3513079.75942367,56645.9783106966,0.544703110511685,0.0141538309432652,0.489275675383682,4
334944.94766718,3530449.75942367,126111.06483833,0.544703110511685,0.0129123860195525,0.429563394310143,103
332214.94766718,3521269.75942367,118894.67740078,0.544703110511685,0.0133403423454626,0.429250210172221,102
335844.94766718,3492949.75942367,108260.056198321,0.544703110511685,0.0144561795908525,0.464258263319671,19
326214.94766718,3489979.75942367,73144.6406361014,0.544703110511685,0.0131001685069811,0.360659102112813,12
332304.94766718,3531529.75942367,129414.079990231,0.544703110511685,0.0123322917673817,0.403366727772142,98
324654.94766718,3531649.75942367,133785.400333792,0.544703110511685,0.0124518804183397,0.392717117697685,97
315624.94766718,3483709.75942367,71864.0518910709,0.544703110511685,0.0131219716898918,0.375217084748153,11
329004.94766718,3524839.75942367,126833.714190967,0.544703110511685,0.0127466981153737,0.40950856668279,99
330234.94766718,3523069.75942367,124631.805102377,0.544703110511685,0.0122636714841688,0.414162552200115,100
339174.94766718,3494959.75942367,93010.5821821197,0.544703110511685,0.0127161909085622,0.476661724694794,18
327834.94766718,3499639.75942367,75676.1839254269,0.544703110511685,0.0123843462920397,0.489796673699792,14
371484.94766718,3532339.75942367,166799.049660926,0.544703110511685,0.0269604856544246,0.382810641110491,86
329124.94766718,3519949.75942367,103295.131957829,0.544703110511685,0.0158457258620868,0.421567046374882,105
332484.94766718,3493459.75942367,97152.1968981946,0.544703110511685,0.013421174176512,0.45752182790559,16
329634.94766718,3494719.75942367,81265.960979661,0.544703110511685,0.0128035783398311,0.458267876116822,15
365004.94766718,3472459.75942367,139413.857044467,0.544703110511685,0.02201066343058,0.450238779842618,28
432174.94766718,3437629.75942367,250678.391591769,0.544703110511685,0.0412906733508301,0.437404478688131,50
310434.94766718,3530479.75942367,47615.915549465,0.544703110511685,0.0133931495386932,0.250813191380763,1
409584.94766718,3474439.75942367,202483.582105606,0.544703110511685,0.0323424536003731,0.447325933033454,69
407334.94766718,3486829.75942367,186896.463069524,0.544703110511685,0.0201423424400196,0.442247690564023,80
428664.94766718,3440689.75942367,244637.882939005,0.544703110511685,0.0334253541661662,0.439958513261764,49
