X,Y,L_m_Upstream,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,7
313494.94766718,3513079.75942367,56645.9783106966,4
334944.94766718,3530479.75942367,126141.06483833,103
332214.94766718,3521269.75942367,118894.67740078,102
335844.94766718,3492949.75942367,108260.056198321,19
326214.94766718,3489979.75942367,73144.6406361014,12
332304.94766718,3531529.75942367,129414.079990231,98
324654.94766718,3531649.75942367,133785.400333792,97
315624.94766718,3483709.75942367,71864.0518910709,11
329004.94766718,3524839.75942367,126833.714190967,99
330234.94766718,3523069.75942367,124631.805102377,100
339174.94766718,3494959.75942367,93010.5821821197,18
327834.94766718,3499639.75942367,75676.1839254269,14
371544.94766718,3532429.75942367,166913.902474669,86
329124.94766718,3520039.75942367,103385.131957829,105
332484.94766718,3493459.75942367,97152.1968981946,16
329634.94766718,3494719.75942367,81265.960979661,15
364914.94766718,3472519.75942367,139528.709858209,28
432024.94766718,3437509.75942367,250878.097219254,50
310434.94766718,3530479.75942367,47615.915549465,1
409764.94766718,3474409.75942367,202676.008512477,69
407364.94766718,3486919.75942367,186998.889476395,80
428604.94766718,3440539.75942367,244812.735752747,49
414414.94766718,3461659.75942367,214673.421921075,68
301284.94766718,3487549.75942367,81987.4241767194,9
334854.94766718,3490669.75942367,111538.067017464,21
403764.94766718,3478009.75942367,185662.199000812,75
346884.94766718,3524779.75942367,116009.164415257,104
345294.94766718,3477949.75942367,130435.480426058,22
405774.94766718,3477739.75942367,187688.889476395,74
309924.94766718,3471559.75942367,91699.4761188082,10
403374.94766718,3485059.75942367,181839.04099541,81
406524.94766718,3476239.75942367,193171.824536031,70
358794.94766718,3463369.75942367,150435.980413307,26
403644.94766718,3480499.75942367,181108.38082363,77
357954.94766718,3466189.75942367,148451.716344595,25
305844.94766718,3493759.75942367,78759.1189850614,8
422544.94766718,3433729.75942367,253618.757391034,47
350334.94766718,3552979.75942367,157063.393821903,89
437094.94766718,3432709.75942367,263193.235739996,52
336024.94766718,3494479.75942367,92159.9220103399,17
400704.94766718,3487789.75942367,173381.841867062,82
323214.94766718,3493609.75942367,67429.7163956096,13
356364.94766718,3549199.75942367,162092.947930373,88
427164.94766718,3441199.75942367,243527.882939005,48
465834.94766718,3443359.75942367,291006.590694603,56
406584.94766718,3475009.75942367,192116.311550508,71
436794.94766718,3429799.75942367,266762.718421714,53
409704.94766718,3436639.75942367,245514.644841338,45
433434.94766718,3438709.75942367,250915.376439868,51
311844.94766718,3511219.75942367,55307.5216000221,3
443814.94766718,3435019.75942367,262582.058249935,54
415704.94766718,3439279.75942367,240128.989002316,46
404604.94766718,3476329.75942367,188053.153545107,73
345054.94766718,3472279.75942367,150313.848378951,23
460944.94766718,3441319.75942367,284349.757365522,57
428334.94766718,3452779.75942367,240327.44571299,65
373944.94766718,3472969.75942367,148294.437123981,34
332634.94766718,3540709.75942367,142712.305089624,95
402414.94766718,3477979.75942367,180668.675196145,76
402894.94766718,3481249.75942367,180420.512857986,78
309204.94766718,3513319.75942367,36937.8333035729,2
337524.94766718,3493009.75942367,105285.426330344,20
458544.94766718,3439969.75942367,281453.584208221,58
401544.94766718,3492769.75942367,178284.999872464,84
390924.94766718,3499339.75942367,172858.532342646,85
377874.94766718,3471499.75942367,157275.311576011,37
422904.94766718,3460579.75942367,228566.865633475,66
333384.94766718,3538729.75942367,140313.188207169,96
354924.94766718,3469729.75942367,138646.283451338,24
376104.94766718,3472879.75942367,151167.523702632,35
438084.94766718,3444319.75942367,254302.727087231,63
443574.94766718,3441019.75942367,263605.073401837,60
330594.94766718,3544789.75942367,151643.473914169,94
320664.94766718,3557779.75942367,175829.41546019,91
329904.94766718,3576529.75942367,185845.731470993,90
461784.94766718,3440419.75942367,285087.330958651,55
407154.94766718,3488359.75942367,182475.954416759,83
437964.94766718,3445729.75942367,255593.976004042,62
437484.94766718,3445819.75942367,255694.270376557,61
369864.94766718,3470329.75942367,152313.40248742,31
