X,Y,L_m_Upstream,Max_Vel,Min_Vel,Mean_Vel,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,0.136836050457821,0.0030644133990299,0.103739000007258,7
313494.94766718,3513079.75942367,56645.9783106966,0.136836050457821,0.00355561458664106,0.122912004195633,4
335064.94766718,3530209.75942367,125821.359210845,0.136836050457821,0.00360654163769196,0.108152623443783,103
332214.94766718,3521269.75942367,118894.67740078,0.136836050457821,0.00335125635062657,0.107832876817942,102
335844.94766718,3492949.75942367,108260.056198321,0.136836050457821,0.00363156824653157,0.116627325820472,19
326214.94766718,3489979.75942367,73144.6406361014,0.136836050457821,0.00329092175945775,0.0906019557120242,12
332304.94766718,3531529.75942367,129414.079990231,0.136836050457821,0.00309802177732527,0.10133063103419,98
324774.94766718,3531529.75942367,133615.694706307,0.136836050457821,0.00317031588198792,0.0987582319605058,97
315624.94766718,3483709.75942367,71864.0518910709,0.136836050457821,0.00329639898435208,0.0942590981222853,11
329004.94766718,3524839.75942367,126833.714190967,0.136836050457821,0.00320212569531209,0.102873535715406,99
330234.94766718,3523069.75942367,124631.805102377,0.136836050457821,0.00308078352706574,0.104042673516878,100
339174.94766718,3494959.75942367,93010.5821821197,0.136836050457821,0.00319446191368495,0.119743226269404,18
327834.94766718,3499639.75942367,75676.1839254269,0.136836050457821,0.00311109850742872,0.123042885313247,14
370944.94766718,3532129.75942367,166147.211999085,0.136836050457821,0.00845449227095058,0.0965135611179896,86
329094.94766718,3519649.75942367,102982.705550958,0.136836050457821,0.00405183327699666,0.106259409801586,105
332484.94766718,3493459.75942367,97152.1968981946,0.136836050457821,0.00337156229031852,0.114935051261289,16
329634.94766718,3494719.75942367,81265.960979661,0.136836050457821,0.00321641469993444,0.11512246765144,15
365304.94766718,3472639.75942367,138936.872196368,0.136836050457821,0.00560761518470823,0.113464236294028,28
432564.94766718,3438229.75942367,249754.421895573,0.136836050457821,0.0104494782849365,0.11023881943879,50
310434.94766718,3530479.75942367,47615.915549465,0.136836050457821,0.0033645221602355,0.063007326099213,1
409044.94766718,3474229.75942367,201796.597257508,0.136836050457821,0.00827234889987316,0.112743183486269,69
407124.94766718,3486529.75942367,186467.051814554,0.136836050457821,0.00543239385102637,0.111321620393685,80
428514.94766718,3441289.75942367,243883.618870293,0.136836050457821,0.0085596899543631,0.110838104323912,49
414414.94766718,3461449.75942367,214293.71629359,0.136836050457821,0.00345760151103457,0.114404627742445,68
301284.94766718,3487549.75942367,81987.4241767194,0.136836050457821,0.00324468433072067,0.0879439077261004,9
334854.94766718,3490669.75942367,111538.067017464,0.136836050457821,0.00330367879645403,0.114853496552055,21
403494.94766718,3477739.75942367,185245.214152713,0.136836050457821,0.00402964267256797,0.115468093358935,75
346884.94766718,3524779.75942367,116009.164415257,0.136836050457821,0.00367622106218779,0.112925445613856,104
345654.94766718,3478039.75942367,130038.201205445,0.136836050457821,0.00418097821119086,0.112494840429753,22
405324.94766718,3477469.75942367,187127.051814554,0.136836050457821,0.00527445649536186,0.114302473838835,74
309834.94766718,3472129.75942367,91092.1968981946,0.136836050457821,0.00599677426492333,0.0799244063378238,10
403374.94766718,3485059.75942367,181839.04099541,0.136836050457821,0.00310607968712977,0.113732586505715,81
406074.94766718,3475849.75942367,192542.707653576,0.136836050457821,0.00597485832483822,0.113960724753211,70
358914.94766718,3463759.75942367,149886.569158337,0.136836050457821,0.00551958107052445,0.107565151086077,26
403194.94766718,3480529.75942367,180621.101603017,0.136836050457821,0.00439810611651591,0.115465148683277,77
358404.94766718,3466549.75942367,147810.173055269,0.136836050457821,0.00575862712762805,0.108481517225078,25
305844.94766718,3493759.75942367,78759.1189850614,0.136836050457821,0.00313401577038189,0.0887908234657978,8
422844.94766718,3435979.75942367,250801.406743671,0.136836050457821,0.0275437472870367,0.107813336047913,47
349764.94766718,3552649.75942367,156356.70334632,0.136836050457821,0.00689566611253068,0.0960367310433304,89
437244.94766718,3433699.75942367,262116.250891898,0.136836050457821,0.00996285824127793,0.108784764382797,52
