X,Y,L_m_Upstream,Max_Vel,Min_Vel,Mean_Vel,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,0.375911861648467,0.00841846386120971,0.284988645081504,7
313494.94766718,3513079.75942367,56645.9783106966,0.375911861648467,0.00976787691618359,0.33766014264177,4
335004.94766718,3530329.75942367,125966.212024587,0.375911861648467,0.0090607741626377,0.296782395969288,103
332214.94766718,3521269.75942367,118894.67740078,0.375911861648467,0.00920647014737974,0.296235219709424,102
335844.94766718,3492949.75942367,108260.056198321,0.375911861648467,0.00997653451476911,0.320395064177695,19
326214.94766718,3489979.75942367,73144.6406361014,0.375911861648467,0.0090407207822659,0.248898954089567,12
332304.94766718,3531529.75942367,129414.079990231,0.375911861648467,0.0085107917821759,0.278372446636917,98
324654.94766718,3531649.75942367,133785.400333792,0.375911861648467,0.00859332259858971,0.271022911318202,97
315624.94766718,3483709.75942367,71864.0518910709,0.375911861648467,0.00905576764893449,0.258945745173898,11
329004.94766718,3524839.75942367,126833.714190967,0.375911861648467,0.00879678291890042,0.282611067739481,99
330234.94766718,3523069.75942367,124631.805102377,0.375911861648467,0.00846343538212678,0.285822887767934,100
339174.94766718,3494959.75942367,93010.5821821197,0.375911861648467,0.00877572920966893,0.328954971706087,18
327834.94766718,3499639.75942367,75676.1839254269,0.375911861648467,0.0085467157798433,0.338019695291911,14
371244.94766718,3532189.75942367,166496.91762657,0.375911861648467,0.0186848771313941,0.264610296457674,86
329124.94766718,3519799.75942367,103145.131957829,0.375911861648467,0.0110249340277664,0.291422003881939,105
332484.94766718,3493459.75942367,97152.1968981946,0.375911861648467,0.00926225401110999,0.31574609866141,16
329634.94766718,3494719.75942367,81265.960979661,0.375911861648467,0.00883603724048248,0.316260963303363,15
365154.94766718,3472579.75942367,139196.577823853,0.375911861648467,0.0153399247074211,0.311174057672517,28
432354.94766718,3437929.75942367,250261.406743671,0.375911861648467,0.0285573261559418,0.302293995212958,50
310434.94766718,3530479.75942367,47615.915549465,0.375911861648467,0.00924291357854924,0.173091821725357,1
409314.94766718,3474409.75942367,202176.302884992,0.375911861648467,0.0226445483607447,0.309165714873924,69
407274.94766718,3486709.75942367,186709.18384891,0.375911861648467,0.0139427209807571,0.305484093191938,80
428664.94766718,3440959.75942367,244275.750904649,0.375911861648467,0.0233264447706314,0.304037044373945,49
414324.94766718,3461569.75942367,214450.995514204,0.375911861648467,0.00938165796657687,0.314084729945465,68
301284.94766718,3487549.75942367,81987.4241767194,0.375911861648467,0.00891369871566692,0.241596845007958,9
334854.94766718,3490669.75942367,111538.067017464,0.375911861648467,0.00907576652869271,0.315522054029373,21
403644.94766718,3477829.75942367,185432.493373327,0.375911861648467,0.0104572435665395,0.316914492614931,75
346884.94766718,3524779.75942367,116009.164415257,0.375911861648467,0.0100992033802107,0.310225370771517,104
345474.94766718,3477979.75942367,130243.054019187,0.375911861648467,0.0109078699804734,0.308551742216832,22
405564.94766718,3477589.75942367,187416.757442039,0.375911861648467,0.0143931986144212,0.313551287997932,74
309834.94766718,3471859.75942367,91362.1968981946,0.375911861648467,0.0158948162006941,0.218836810899227,10
