X,Y,L_m_Upstream,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,7
313494.94766718,3513079.75942367,56645.9783106966,4
334974.94766718,3530419.75942367,126068.638431458,103
332214.94766718,3521269.75942367,118894.67740078,102
335844.94766718,3492949.75942367,108260.056198321,19
326214.94766718,3489979.75942367,73144.6406361014,12
332304.94766718,3531529.75942367,129414.079990231,98
324654.94766718,3531649.75942367,133785.400333792,97
315624.94766718,3483709.75942367,71864.0518910709,11
329004.94766718,3524839.75942367,126833.714190967,99
330234.94766718,3523069.75942367,124631.805102377,100
339174.94766718,3494959.75942367,93010.5821821197,18
327834.94766718,3499639.75942367,75676.1839254269,14
371424.94766718,3532279.75942367,166714.196847184,86
329124.94766718,3519919.75942367,103265.131957829,105
332484.94766718,3493459.75942367,97152.1968981946,16
329634.94766718,3494719.75942367,81265.960979661,15
365064.94766718,3472489.75942367,139341.430637595,28
432204.94766718,3437719.75942367,250551.112371156,50
310434.94766718,3530479.75942367,47615.915549465,1
409524.94766718,3474439.75942367,202423.582105606,69
407304.94766718,3486799.75942367,186854.036662653,80
428724.94766718,3440779.75942367,244523.030125262,49
414294.94766718,3461659.75942367,214553.421921075,68
301284.94766718,3487549.75942367,81987.4241767194,9
334854.94766718,3490669.75942367,111538.067017464,21
403704.94766718,3477919.75942367,185547.346187069,75
346884.94766718,3524779.75942367,116009.164415257,104
345384.94766718,3477979.75942367,130333.054019187,22
405654.94766718,3477649.75942367,187531.610255781,74
309864.94766718,3471709.75942367,91524.6233050658,10
403374.94766718,3485059.75942367,181839.04099541,81
406374.94766718,3476149.75942367,192984.545315417,70
358884.94766718,3463459.75942367,150291.127599564,26
403494.94766718,3480529.75942367,180945.954416759,77
358104.94766718,3466309.75942367,148252.01071711,25
305844.94766718,3493759.75942367,78759.1189850614,8
422634.94766718,3434419.75942367,252774.493322322,47
350154.94766718,3552889.75942367,156846.11460129,89
437124.94766718,3433039.75942367,262850.809333125,52
336024.94766718,3494479.75942367,92159.9220103399,17
400554.94766718,3487789.75942367,173231.841867062,82
323214.94766718,3493609.75942367,67429.7163956096,13
356154.94766718,3549259.75942367,161858.09511663,88
427344.94766718,3441379.75942367,243255.750904649,48
463734.94766718,3442639.75942367,288448.945674725,56
406494.94766718,3474979.75942367,192013.885143637,71
436914.94766718,3429799.75942367,266642.718421714,53
409884.94766718,3436909.75942367,245110.086400111,45
433554.94766718,3438889.75942367,250685.670812383,51
311844.94766718,3511219.75942367,55307.5216000221,3
443694.94766718,3435109.75942367,262424.779029322,54
415884.94766718,3439339.75942367,239924.136188573,46
404514.94766718,3476209.75942367,187895.874324493,73
345264.94766718,3472189.75942367,150066.569158337,23
460764.94766718,3441079.75942367,284017.625331166,57
428304.94766718,3452629.75942367,240140.166492376,65
373944.94766718,3473149.75942367,148114.437123981,34
332634.94766718,3540709.75942367,142712.305089624,95
402354.94766718,3477889.75942367,180553.822382403,76
402774.94766718,3481219.75942367,180288.086451115,78
309204.94766718,3513319.75942367,36937.8333035729,2
337524.94766718,3493009.75942367,105285.426330344,20
458574.94766718,3439759.75942367,281139.025766994,58
401544.94766718,3492649.75942367,178140.147058721,84
390984.94766718,3499249.75942367,172743.679528903,85
377844.94766718,3471679.75942367,157082.885169139,37
422664.94766718,3460729.75942367,228264.733599119,66
333384.94766718,3538729.75942367,140313.188207169,96
354924.94766718,3469729.75942367,138646.283451338,24
376104.94766718,3473029.75942367,151017.523702632,35
437934.94766718,3444259.75942367,254127.874273489,63
443544.94766718,3440689.75942367,263262.646994966,60
330594.94766718,3544789.75942367,151643.473914169,94
320694.94766718,3557749.75942367,175786.989053319,91
330024.94766718,3576499.75942367,185713.305064122,90
461604.94766718,3440389.75942367,284894.90455178,55
406764.94766718,3488239.75942367,182036.248789274,83
437814.94766718,3445579.75942367,255364.270376557,62
437364.94766718,3445759.75942367,255549.417562815,61
369924.94766718,3470449.75942367,152168.549673677,31
